Frequency(Hz),S21_Magnitude,S21_Phase(rad)
1753316130,1.52E-07,3.057164138
1755126986,1.51E-07,3.057220653
1756937842,1.51E-07,3.057277168
1758748698,1.51E-07,3.057333683
1760559555,1.51E-07,3.057390198
1762370411,1.50E-07,3.057446714
1764181267,1.50E-07,3.057503229
1765992123,1.50E-07,3.057559744
1767802979,1.49E-07,3.057616259
1769613835,1.49E-07,3.057672774
1771424691,1.49E-07,3.057729289
1773235547,1.49E-07,3.057785804
1775046403,1.48E-07,3.057842319
1776857259,1.48E-07,3.057898834
1778668115,1.48E-07,3.05795535
1780478971,1.48E-07,3.058011865
1782289828,1.47E-07,3.05806838
1784100684,1.47E-07,3.058124895
1785911540,1.47E-07,3.05818141
1787722396,1.47E-07,3.058237925
1789533252,1.46E-07,3.05829444
1791344108,1.46E-07,3.058350955
1793154964,1.46E-07,3.05840747
1794965820,1.46E-07,3.058463986
1796776676,1.45E-07,3.058520501
1798587532,1.45E-07,3.058577016
1800398388,1.45E-07,3.058633531
1802209244,1.44E-07,3.058690046
1804020101,1.44E-07,3.058746561
1805830957,1.44E-07,3.058803076
1807641813,1.44E-07,3.058859591
1809452669,1.43E-07,3.058916106
1811263525,1.43E-07,3.058972622
1813074381,1.43E-07,3.059029137
1814885237,1.43E-07,3.059085652
1816696093,1.42E-07,3.059142167
1818506949,1.42E-07,3.059198682
1820317805,1.42E-07,3.059255197
1822128661,1.42E-07,3.059311712
1823939517,1.41E-07,3.059368227
1825750373,1.41E-07,3.059424742
1827561230,1.41E-07,3.059481258
1829372086,1.41E-07,3.059537773
1831182942,1.40E-07,3.059594288
1832993798,1.40E-07,3.059650803
1834804654,1.40E-07,3.059707318
1836615510,1.39E-07,3.059763833
1838426366,1.39E-07,3.059820348
1840237222,1.39E-07,3.059876863
1842048078,1.39E-07,3.059933378
1843858934,1.38E-07,3.059989894
1845669790,1.38E-07,3.060046409
1847480646,1.38E-07,3.060102924
1849291503,1.38E-07,3.060159439
1851102359,1.37E-07,3.060215954
1852913215,1.37E-07,3.060272469
1854724071,1.37E-07,3.060328984
1856534927,1.37E-07,3.060385499
1858345783,1.36E-07,3.060442014
1860156639,1.36E-07,3.06049853
1861967495,1.36E-07,3.060555045
1863778351,1.36E-07,3.06061156
1865589207,1.35E-07,3.060668075
1867400063,1.35E-07,3.06072459
1869210919,1.35E-07,3.060781105
1871021776,1.34E-07,3.06083762
1872832632,1.34E-07,3.060894135
1874643488,1.34E-07,3.06095065
1876454344,1.34E-07,3.061007166
1878265200,1.33E-07,3.061063681
1880076056,1.33E-07,3.061120196
1881886912,1.33E-07,3.061176711
1883697768,1.33E-07,3.061233226
1885508624,1.32E-07,3.061289741
1887319480,1.32E-07,3.061346256
1889130336,1.32E-07,3.061402771
1890941192,1.32E-07,3.061459286
1892752049,1.31E-07,3.061515802
1894562905,1.31E-07,3.061572317
1896373761,1.31E-07,3.061628832
1898184617,1.31E-07,3.061685347
1899995473,1.30E-07,3.061741862
1901806329,1.30E-07,3.061798377
1903617185,1.30E-07,3.061854892
1905428041,1.30E-07,3.061911407
1907238897,1.29E-07,3.061967922
1909049753,1.29E-07,3.062024438
1910860609,1.29E-07,3.062080953
1912671465,1.28E-07,3.062137468
1914482322,1.28E-07,3.062193983
1916293178,1.28E-07,3.062250498
1918104034,1.28E-07,3.062307013
1919914890,1.27E-07,3.062363528
1921725746,1.27E-07,3.062420043
1923536602,1.27E-07,3.062476558
1925347458,1.27E-07,3.062533074
1927158314,1.26E-07,3.062589589
1928969170,1.26E-07,3.062646104
1930780026,1.26E-07,3.062702619
1932590882,1.26E-07,3.062759134
1934401738,1.25E-07,3.062815649
1936212595,1.25E-07,3.062872164
1938023451,1.25E-07,3.062928679
1939834307,1.25E-07,3.062985194
1941645163,1.24E-07,3.06304171
1943456019,1.24E-07,3.063098225
1945266875,1.24E-07,3.06315474
1947077731,1.23E-07,3.063211255
1948888587,1.23E-07,3.06326777
1950699443,1.23E-07,3.063324285
1952510299,1.23E-07,3.0633808
1954321155,1.22E-07,3.063437315
1956132011,1.22E-07,3.06349383
1957942867,1.22E-07,3.063550346
1959753724,1.22E-07,3.063606861
1961564580,1.21E-07,3.063663376
1963375436,1.21E-07,3.063719891
1965186292,1.21E-07,3.063776406
1966997148,1.21E-07,3.063832921
1968808004,1.20E-07,3.063889436
1970618860,1.20E-07,3.063945951
1972429716,1.20E-07,3.064002466
1974240572,1.20E-07,3.064058982
1976051428,1.19E-07,3.064115497
1977862284,1.19E-07,3.064172012
1979673140,1.19E-07,3.064228527
1981483997,1.18E-07,3.064285042
1983294853,1.18E-07,3.064341557
1985105709,1.18E-07,3.064398072
1986916565,1.18E-07,3.064454587
1988727421,1.17E-07,3.064511102
1990538277,1.17E-07,3.064567618
1992349133,1.17E-07,3.064624133
1994159989,1.17E-07,3.064680648
1995970845,1.16E-07,3.064737163
1997781701,1.16E-07,3.064793678
1999592557,1.16E-07,3.064850193
2001403413,1.16E-07,3.064906708
2003214270,1.15E-07,3.064963223
2005025126,1.15E-07,3.065019738
2006835982,1.15E-07,3.065076254
2008646838,1.15E-07,3.065132769
2010457694,1.14E-07,3.065189284
2012268550,1.14E-07,3.065245799
2014079406,1.14E-07,3.065302314
2015890262,1.14E-07,3.065358829
2017701118,1.13E-07,3.065415344
2019511974,1.13E-07,3.065471859
2021322830,1.13E-07,3.065528374
2023133686,1.12E-07,3.06558489
2024944543,1.12E-07,3.065641405
2026755399,1.12E-07,3.06569792
2028566255,1.12E-07,3.065754435
2030377111,1.11E-07,3.06581095
2032187967,1.11E-07,3.065867465
2033998823,1.11E-07,3.06592398
2035809679,1.11E-07,3.065980495
2037620535,1.10E-07,3.06603701
2039431391,1.10E-07,3.066093526
2041242247,1.10E-07,3.066150041
2043053103,1.10E-07,3.066206556
2044863959,1.09E-07,3.066263071
2046674816,1.09E-07,3.066319586
2048485672,1.09E-07,3.066376101
2050296528,1.09E-07,3.066432616
2052107384,1.08E-07,3.066489131
2053918240,1.08E-07,3.066545646
